Lack of regulations and controls over the profession in our country.,Blame game by the clinicians.,Lack of regulations and controls over the profession in our country.,No appreciation for the properly trained and qualified embryologists.,"Draft proper rules, taking the advice of qualified practicing embryologists. ",Implement the rules strictly.,Rise to be a recognised name in my profession.
calibration & quality control mesears of lab equipments,Give good resultsvin ivf batch,Coordination of team,Ivf success rates,specialised training programme,embtyology skill improving programmes,To improve my ivf out come & eorking efficiecy skills
Troubleshooting,Work time,Troubleshooting,Sop,Sophisticated laboratory,Using new techniques,Lab director
Success rate,QC,Quality,Success rate,Quick decision making,Handling skills,Phd
Clinical dominance,Long working hours along with working in very dim light,Less recognition,No weakened,More recognition,Compatible work environment,To do good & ethical work to achieve positive impact in my professional life 🧬
Burnout/over worked,Career growth in the field,Burnout,Finding new staff to fill jobs,Create better protocols to decrease employees being overworked,Pay attention to hours being worked and make changes to accommodate those working more (availability of time off),Fully trained embryologist with some kind of managerial role
Juniors leaving the job,Late night work schedules,Blame game,Part time hand on training program unavailability,If working over time more then 10 hours provid food,Don't expect to work back to back without 0 relax,To be able to freeze ovarian tissue and name in the society for my work
Doesn't get sponsor for international conference,Upgradation to new technologies,Proper training,Research,"Based on the experience of the embryologist, should provide a national accreditation and sponsor to educational tours ",Must invlove then in research,Research in embryology
Service dept aren't skilled in our country,Relative products aren't available in our country,unskilled,higher education in related field,To study least update,If have scope join for high education,Be an IVF scientists and researcher as well
Heavy workload,Lack of trained staff,You have no holidays because of work.,You can plan anything on your own,Providing enough staff,Distribution of work.,To improve  continously
Communication,Quality control,Quack Ppl practicing Embryology,Unprofessional Embryologist interference,Need authority body for recognizing Embryologist,Need a online registry,"I am just a greedy  human being,  so wanted to have a very successful,  patient oriented Clinical Embryologist "
Blame game for pregnancy negative,Poor oocyte quality,Under estimated,Behind the screen,Proper discussion of negative cases without blaming,Discussion with patient,To provide the best for the patient
Less manpower,Handling with clinicians,Management skills,QC & QM,Peacefull work environment,Friendly clinicians sometimes,To improve my knowledge strength and become a great successful embryologist known by whole world.
Trouble shooting,Patients  got positive,Fear,Trust,Senior must given training to juniors,Pls follow ethical,Good ethical embryologist
Gynecologist do not trust or give their useless advises,While performing procedures people irritates and ask to teach them and they directly wants to seat and perform ICSI,Many of the time gynecologist asks to perform work which is violation of guidelines and embryologist has no other option,Advise of dumb people,Strict guidelines for ART,Registration of Embryologist similar to govt body,To perform ethical practices with good results
Less men power,Management pressure,Long hours ICSI,Still not know the reason of negative results,Give them responsibilities to make decisions,Provide more men power,ESHRE certified clinical embryologist and want to practice in European country
